Time_us,K1,K2,K3
124,0.0000,0.0000,0.0000
6729,0.0000,0.0000,0.0000
12895,0.0000,0.0004,0.0004
18902,0.0000,0.0004,0.0009
24790,0.0000,0.0014,0.0000
30901,0.0000,0.0006,0.0000
36679,0.0000,0.0000,0.0000
42893,0.0000,0.0000,0.0000
48892,0.0000,0.0000,0.0000
54893,0.0000,0.0000,0.0000
60889,0.0000,0.0000,0.0000
66803,0.0000,0.0000,0.0000
72813,0.0000,0.0000,0.0000
78893,0.0000,0.0000,0.0000
84894,0.0000,0.0000,0.0000
90893,0.0000,0.0000,0.0000
96887,0.0000,0.0000,0.0000
102897,0.0000,0.0000,0.0000
108895,0.0000,0.0000,0.0000
114889,0.0000,0.0000,0.0000
120818,0.0000,0.0000,0.0000
126889,0.0000,0.0000,0.0000
132886,0.0000,0.0000,0.0000
138894,0.0000,0.0000,0.0021
144908,0.0000,0.0000,0.0009
150902,0.0000,0.0000,0.0010
156909,0.0000,0.0000,0.0010
162699,0.0000,0.0000,0.0000
168891,0.0000,0.0000,0.0000
174893,0.0000,0.0000,0.0000
180891,0.0000,0.0000,0.0000
186894,0.0000,0.0000,0.0000
192899,0.0000,0.0000,0.0000
198890,0.0000,0.0000,0.0000
204896,0.0000,0.0000,0.0000
210712,0.0000,0.0000,0.0000
216892,0.0000,0.0000,0.0000
222894,0.0000,0.0000,0.0000
228896,0.0000,0.0000,0.0000
234798,0.0000,0.0000,0.0000
240889,0.0000,0.0000,0.0000
246891,0.0000,0.0000,0.0000
252802,0.0000,0.0000,0.0000
258892,0.0000,0.0000,0.0000
264891,0.0000,0.0000,0.0000
270890,0.0000,0.0000,0.0000
276889,0.0000,0.0000,0.0000
282896,0.0000,0.0000,0.0000
288887,0.0000,0.0000,0.0000
294893,0.0000,0.0000,0.0000
300802,0.0000,0.0000,0.0000
306825,0.0000,0.0000,0.0000
312719,0.0000,0.0000,0.0000
318897,0.0000,0.0000,0.0000
324893,0.0000,0.0000,0.0000
330895,0.0000,0.0000,0.0000
336900,0.0000,0.0000,0.0000
342887,0.0000,0.0000,0.0000
348896,0.0000,0.0000,0.0000
354889,0.0000,0.0000,0.0000
360895,0.0000,0.0000,0.0000
366792,0.0000,0.0000,0.0000
372891,0.0000,0.0000,0.0000
378736,0.0000,0.0000,0.0000
384890,0.0000,0.0000,0.0000
390736,0.0000,0.0000,0.0000
396900,0.0000,0.0000,0.0000
402889,0.0000,0.0000,0.0000
408798,0.0000,0.0000,0.0000
414702,0.0000,0.0000,0.0000
420894,0.0000,0.0000,0.0000
426893,0.0000,0.0000,0.0000
432733,0.0000,0.0000,0.0000
438891,0.0000,0.0000,0.0000
444891,0.0000,0.0000,0.0000
450893,0.0000,0.0000,0.0000
456892,0.0000,0.0000,0.0000
462891,0.0000,0.0000,0.0000
468894,0.0000,0.0000,0.0000
474893,0.0000,0.0000,0.0000
480893,0.0000,0.0000,0.0000
486896,0.0000,0.0000,0.0000
492894,0.0000,0.0000,0.0000
498891,0.0000,0.0000,0.0000
504897,0.0000,0.0000,0.0000
510898,0.0000,0.0000,0.0000
516893,0.0000,0.0000,0.0000
522895,0.0000,0.0000,0.0000
528895,0.0000,0.0000,0.0000
534896,0.0000,0.0000,0.0000
540896,0.0000,0.0000,0.0000
546898,0.0000,0.0000,0.0000
552898,0.0000,0.0000,0.0000
558889,0.0000,0.0000,0.0000
564897,0.0000,0.0000,0.0000
570891,0.0000,0.0000,0.0000
576892,0.0000,0.0000,0.0000
582894,0.0000,0.0000,0.0000
588894,0.0000,0.0000,0.0000
594890,0.0000,0.0000,0.0000
600897,0.0000,0.0000,0.0000
606895,0.0000,0.0000,0.0000
612896,0.0000,0.0000,0.0000
618893,0.0000,0.0000,0.0000
624890,0.0000,0.0000,0.0000
630895,0.0000,0.0000,0.0000
636897,0.0000,0.0000,0.0000
642900,0.0000,0.0000,0.0000
648898,0.0000,0.0000,0.0000
654895,0.0000,0.0000,0.0000
660888,0.0000,0.0008,0.0000
666902,0.0000,0.0007,0.0000
672906,0.0000,0.0007,0.0000
678698,0.0000,0.0000,0.0000
684892,0.0000,0.0000,0.0000
690896,0.0000,0.0000,0.0006
696909,0.0000,0.0000,0.0007
702907,0.0022,0.0000,0.0012
708772,0.0143,0.0000,0.0000
714894,0.0410,0.0000,0.0000
720900,0.0979,0.0000,0.0000
726666,0.2069,0.0000,0.0000
732902,0.3001,0.0000,0.0000
738899,0.3808,0.0000,0.0000
744676,0.4517,0.0000,0.0000
750904,0.5123,0.0000,0.0000
756678,0.5649,0.0000,0.0000
762903,0.6105,0.0000,0.0000
768672,0.6498,0.0000,0.0000
774898,0.6821,0.0000,0.0000
780673,0.7084,0.0000,0.0000
786894,0.7327,0.0091,0.0000
792659,0.7543,0.0996,0.0000
798901,0.7727,0.2140,0.0000
804665,0.7897,0.3098,0.0000
810905,0.8036,0.3913,0.0000
816747,0.8174,0.4612,0.0000
822898,0.8295,0.5179,0.0000
828663,0.8397,0.5674,0.0028
834910,0.8476,0.6092,0.0016
840723,0.8539,0.6440,0.0001
846907,0.8594,0.6729,0.0003
852717,0.8646,0.6996,0.0008
858702,0.8692,0.7215,0.0000
864908,0.8738,0.7412,0.0000
870756,0.8777,0.7583,0.0000
876665,0.8807,0.7736,0.0002
882905,0.8818,0.7872,0.0060
888713,0.8831,0.7995,0.0287
894670,0.8844,0.8114,0.0731
900908,0.8829,0.8215,0.1489
906707,0.8583,0.8304,0.2619
912906,0.7977,0.8376,0.3552
918719,0.7151,0.8431,0.4352
924909,0.6240,0.8487,0.5038
930712,0.5324,0.8522,0.5611
936908,0.4519,0.8568,0.6109
942701,0.3844,0.8647,0.6539
948909,0.3259,0.8723,0.6908
954718,0.2750,0.8694,0.7225
960905,0.2334,0.8529,0.7512
966707,0.2001,0.8067,0.7732
972912,0.1718,0.7247,0.7922
978725,0.1440,0.6297,0.8097
984909,0.1218,0.5357,0.8240
990717,0.1027,0.4550,0.8371
996906,0.0867,0.3869,0.8472
1002708,0.0725,0.3272,0.8569
1008910,0.0614,0.2778,0.8661
1014727,0.0516,0.2401,0.8688
1020909,0.0482,0.2027,0.8759
1026726,0.0409,0.1713,0.8812
1032686,0.0322,0.1457,0.8861
1038912,0.0288,0.1215,0.8896
1044719,0.0233,0.1033,0.8943
1050910,0.0198,0.0872,0.8965
1056730,0.0157,0.0735,0.8897
1062907,0.0136,0.0646,0.8434
1068730,0.0113,0.0540,0.7649
1074909,0.0139,0.0431,0.6685
1080725,0.0098,0.0357,0.5706
1086908,0.0060,0.0308,0.4855
1092732,0.0027,0.0262,0.4115
1098739,0.0012,0.0234,0.3510
1104903,0.0000,0.0193,0.2975
1110741,0.0000,0.0161,0.2503
1116836,0.0000,0.0155,0.2133
